,p300_processed_1.csv,h3k27ac_processed_5.csv,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,H3K27ac_1.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
1743,89.2925,229.419,140.598,75.6062,131.989,92.3724,0.791153,0.036939,0.102511,0.44183,0.151881,0.417951,0.0209983
1744,59.6788,243.968,125.998,96.8992,79.1548,59.7573,0.796921,0.478079,0.0425621,0.192573,0.283781,0.851336,0.348894
1745,1.65949,18.617,3.31521,4.00913,2.06409,2.1909,0.172597,0.00829931,0.0306753,0.060323,0.136963,0.16861,0.0113067
1746,10.9345,40.1148,9.92275,2.83546,27.3479,14.617,0.0709093,0.136572,0.00355874,0.0097201,0.0905698,0.138783,0.0
1747,109.101,318.618,94.9865,88.233,226.68,160.864,0.628027,0.363688,0.419199,0.984774,1.87077,1.72333,0.0678405
1748,10.8713,44.0363,21.8002,36.388,20.1414,13.0108,0.198276,0.032987,0.0673744,0.608169,0.820692,0.803464,0.0339203
1749,54.6294,204.47,65.1982,80.8354,141.509,89.4207,0.372355,0.181024,0.19334,0.43457,0.673382,0.645578,0.0209983
1750,53.2419,171.772,57.5803,75.5853,53.8153,30.6629,0.687801,0.249149,0.11975,1.20467,1.18781,2.25702,0.183815
1751,0.5423,12.94,0.516384,1.09544,3.44524,5.8574,0.108174,0.0506432,0.0068024,0.0858031,0.769619,0.163674,0.0178528
1752,1.45686,18.4756,4.53917,4.80232,9.24744,3.66734,0.043892,0.0134753,0.00602575,0.265216,0.0545584,0.303168,0.0496971
1753,40.8586,186.311,59.3778,68.2537,59.0836,57.8158,0.219282,0.0683481,0.106145,0.165961,1.23311,2.22122,0.045227
1754,2.51225,15.4935,4.57937,11.3701,5.99831,0.555489,0.00504221,0.257073,0.0730933,0.0163185,0.0330887,0.272885,0.0
1755,2.08161,18.6803,3.03304,5.73735,2.75944,2.86064,0.0242056,0.247468,0.000957735,0.225588,0.322708,0.297837,0.113068
1756,35.2235,96.2335,49.4315,39.8659,13.6749,8.5506,0.237961,0.0759341,0.023358,0.310854,2.87065,2.84235,0.0113067
1757,5.91887,55.6998,4.6009,6.10962,59.8236,37.1492,0.124929,0.116691,0.260795,0.116214,0.60342,0.541973,0.0339203
1758,1.5648,16.2872,1.29295,2.06917,3.10679,0.850381,0.14332,0.115765,0.0418828,0.115577,0.343478,0.971762,0.0
1759,3.61012,22.2666,3.42345,3.93033,3.37764,4.75632,0.316134,0.0467002,0.434448,0.103263,0.744938,0.195384,0.0339203
1760,86.816,203.044,90.5512,49.9166,20.1709,14.7768,1.0392,0.388704,0.346372,0.661357,9.15756,15.5956,3.56163
1761,7.63829,48.3713,11.6238,9.16689,24.8045,20.256,0.184616,0.220617,0.12656,0.176826,2.1557,4.33126,0.0
1762,84.3681,236.64,78.4722,71.1727,128.199,111.679,3.89493,2.36162,1.00781,4.13663,20.1664,29.5451,0.06461
